,p,x,y
0,4.205493438436626e-21,-0.01,-0.01
1,4.203968548495306e-21,-0.01,-0.0099
2,4.202459201441138e-21,-0.01,-0.0098
3,4.200965432095953e-21,-0.01,-0.0097
4,4.199487149503217e-21,-0.01,-0.0096
5,4.19802443056816e-21,-0.01,-0.0095
6,4.196577226430985e-21,-0.01,-0.0094
7,4.1951455162768406e-21,-0.01,-0.0093
8,4.193729335257629e-21,-0.01,-0.0092
9,4.1923286487229414e-21,-0.01,-0.0091
10,4.190943464013323e-21,-0.01,-0.009
11,4.1895737466357606e-21,-0.01,-0.0089
12,4.188219545966214e-21,-0.01,-0.0088
13,4.186880827650655e-21,-0.01,-0.0087
14,4.185557543463095e-21,-0.01,-0.0086
15,4.184249729018354e-21,-0.01,-0.0085
16,4.182957406023625e-21,-0.01,-0.0084
17,4.181680498565967e-21,-0.01,-0.0083
18,4.1804190843130916e-21,-0.01,-0.0082
19,4.179173059608737e-21,-0.01,-0.0081
20,4.1779425161952135e-21,-0.01,-0.008
21,4.1767273924249055e-21,-0.01,-0.0079
22,4.175527696474114e-21,-0.01,-0.0078
23,4.174343408698103e-21,-0.01,-0.0077
24,4.173174565295341e-21,-0.01,-0.0076
25,4.1720210770611286e-21,-0.01,-0.0075
26,4.1708830221557075e-21,-0.01,-0.0074
27,4.1697603812185726e-21,-0.01,-0.0073
28,4.168653134968109e-21,-0.01,-0.0072
29,4.167561264201379e-21,-0.01,-0.0071
30,4.166484777656085e-21,-0.01,-0.007
31,4.1654236980649755e-21,-0.01,-0.0069
32,4.164377978580766e-21,-0.01,-0.0068
33,4.1633476142262e-21,-0.01,-0.0067
34,4.162332627945742e-21,-0.01,-0.0066
35,4.1613330009738154e-21,-0.01,-0.0065
36,4.160348728544955e-21,-0.01,-0.0064
37,4.159379819886334e-21,-0.01,-0.0063
38,4.158426242534627e-21,-0.01,-0.0062
39,4.157488047615757e-21,-0.01,-0.0061
40,4.1565651471434636e-21,-0.01,-0.006
41,4.155657592385438e-21,-0.01,-0.0059
42,4.154765379005791e-21,-0.01,-0.0058
43,4.1538885027411155e-21,-0.01,-0.0057
44,4.153026945489594e-21,-0.01,-0.0056
45,4.1521806892270054e-21,-0.01,-0.0055
46,4.1513497716401035e-21,-0.01,-0.0054
47,4.1505341609373905e-21,-0.01,-0.0053
48,4.149733867127603e-21,-0.01,-0.0052
49,4.148948858572846e-21,-0.01,-0.0051
50,4.14817915933165e-21,-0.01,-0.005
51,4.1474247657208224e-21,-0.01,-0.0049
52,4.146685674129842e-21,-0.01,-0.0048
53,4.145961839319926e-21,-0.01,-0.0047
54,4.145253327331719e-21,-0.01,-0.0046
55,4.144560079173499e-21,-0.01,-0.0045
56,4.1438821193259484e-21,-0.01,-0.0044
57,4.143219444541878e-21,-0.01,-0.0043
58,4.142572023856423e-21,-0.01,-0.0042
59,4.141939895856421e-21,-0.01,-0.0041
60,4.141323043616752e-21,-0.01,-0.004
61,4.140721450288836e-21,-0.01,-0.0039
62,4.140135112992009e-21,-0.01,-0.0038
63,4.1395640566996834e-21,-0.01,-0.0037
64,4.139008237001996e-21,-0.01,-0.0036
65,4.1384676790170734e-21,-0.01,-0.0035
66,4.137942407929322e-21,-0.01,-0.0034
67,4.137432337889971e-21,-0.01,-0.0033
68,4.136937549782242e-21,-0.01,-0.0032
69,4.136457999570185e-21,-0.01,-0.0031
70,4.135993712726045e-21,-0.01,-0.003
71,4.1355446592508784e-21,-0.01,-0.0029
72,4.135110836992016e-21,-0.01,-0.0028
73,4.1346922716363654e-21,-0.01,-0.0027
74,4.134288905642218e-21,-0.01,-0.0026
75,4.133900806489939e-21,-0.01,-0.0025
76,4.133527958431537e-21,-0.01,-0.0024
77,4.1331702902701166e-21,-0.01,-0.0023
78,4.132827883578439e-21,-0.01,-0.0022
79,4.1325007228294154e-21,-0.01,-0.0021
80,4.132188750932306e-21,-0.01,-0.002
81,4.131892035789102e-21,-0.01,-0.0019
82,4.131610548214792e-21,-0.01,-0.0018
